lemma	paradigm_size
afinidades	1
afirmación	2
afirmar	9
afirmativa	1
afirmativo	1
aflojar	1
aflorar	2
afluencia	1
afluir	1
aforado	2
aforismo	1
afortunadamente	1
afortunado	3
africa	1
africana	1
africano	3
afroamericano	1
afrontamiento	1
afrontar	10
aftonbladet	1
aftosa	1
aftoso	1
afueras	1
afán	1
afín	2
agachar	1
agadir	1
agarra	1
agarrar	7
agarrotado	1
agarrón	2
agasajar	1
agassi	1
agata	1
agatha	1
agbar	1
agencia	2
agenciar	1
agencias	1
agenda	2
agente	2
agigantado	1
agilidad	1
agilizar	3
agitado	2
agitar	2
aglutinar	4
agnelli	1
agnóstico	1
agobiado	1
agobiante	1
agobiar	1
agobio	2
agolpado	1
agolpar	1
agonioso	1
agonizar	1
agonía	1
agosteño	1
agosto	1
agotado	2
agotador	1
agotamiento	1
agotar	7
agradable	2
agradar	2
agradecer	8
agradecido	2
agradecimiento	1
agrado	1
agraria	1
agrario	3
agrava	1
agravado	1
agravante	1
agravar	3
agravio	2
agredida	1
agredir	6
agregado	2
agregar	4
agresividad	1
agresivo	4
agresión	2
agresor	3
agreste	1
agriamente	1
agricultor	2
agricultores	1
agricultura	1
agrigento	1
agrio	3
agrios	1
agroalimentario	1
agrofibra	1
agroindustria	1
agroindustrias	1
agropecuario	2
agroturismo	1
agrupación	2
agrupar	1
agrícola	2
agrónomo	1
agua	2
aguacero	1
aguanieve	1
aguantar	8
aguante	1
aguar	2
aguardar	6
aguardiente	1
aguas	1
agudelo	1
agudeza	1
agudizar	1
agudo	1
aguerrido	1
aguiar	1
aguijoneado	1
aguilar	1
aguilera	1
aguinaga	1
aguirre	1
aguja	1
agujereada	1
agujero	2
agurtxane	1
agusto	1
agustín	1
agència	1
agónico	1
ah	1
ahincar	1
ahmad	1
ahmed	1
ahogar	2
ahondar	4
ahora	1
ahormar	1
ahorrador	1
ahorrar	3
ahorro	2
ahorros	1
ahram	1
ahumada	1
ahuyentar	2
ahí	1
ahínco	1
ai	1
aib	1
aicega	1
aicha	1
aigatchúúúú	1
aigua	1
aimar	1
air	1
airadamente	1
airado	1
airbus	1
aire	2
aires	1
airlines	1
airoso	3
airtel	1
aislado	4
aislamiento	1
aislante	2
aislar	2
aitana	1
aitor	1
aja	1
ajap	1
ajax	1
ajbar	1
ajedrez	1
ajeno	4
ajo	1
ajronot	1
ajuria	1
ajustado	2
ajustar	5
ajuste	2
akademik	1
akbar	1
akihito	1
al	1
ala	2
alabanza	1
alabar	2
aladi	1
alagna	1
alagoas	1
alain	1
alambrado	1
alambre	1
alamein	1
alamin	1
alamos	1
alan	1
alarcón	1
alarde	2
alardear	1
alargamiento	1
alargar	7
alarido	1
alarma	2
alarmante	1
alarmar	2
alaska	1
alauí	1
alava	1
alavesista	1
alavés	2
alba	2
albacete	1
albal	1
albania	1
albanokosovar	1
albanés	3
albarracín	1
albatros	1
alberca	1
albergar	6
albergue	2
albert	1
albertini	1
alberto	1
albiazul	2
albin	1
albinegra	1
albión	1
alborch	1
albrecht	1
albright	1
alca	1
alcalde	2
alcaldesa	1
alcaldía	2
alcalino	1
alcalí	1
alcan	1
alcance	1
alcantarilla	2
alcantarillado	2
alcanzado	2
alcanzar	14
alcaraz	1
alcarreño	1
alcazar	1
alcazarquivir	1
alcañiz	1
alchemy	1
alcidio	1
alcista	1
alcober	1
alcohol	2
alcoholemia	1
alcoholímetro	1
alcohólico	3
alcorcón	1
alcoy	1
alcoyano	1
alcàsser	1
alcántara	1
alcázares	1
aldaia	1
aldana	1
aldea	2
aleación	2
aleatorio	1
aleccionado	1
aleccionar	2
alegación	1
alegar	5
alegato	2
alegrar	3
alegre	2
alegremente	1
alegrett	1
alegria	1
alegría	2
aleja	1
alejado	3
alejamiento	1
alejandra	1
alejandrino	1
alejandro	1
alejandría	1
alejar	6
aleksandar	1
aleksander	1
alemana	1
alemania	1
alemanias	1
alemany	1
alemán	4
alentado	1
alentar	3
alergia	1
alero	1
alerta	1
alertado	2
alertar	5
alerón	1
alesi	1
alessandro	1
alevín	1
alex	1
alexander	1
alexandra	1
alexandre	1
alexei	1
alexis	1
alfa	1
alfabetización	1
alfabeto	1
alfaguara	1
alfajarín	1
alfarero	1
alfaro	1
alfiler	1
alfombra	1
alfons	1
alfonso	1
alforja	1
alfred	1
alfredo	1
alférez	1
alfés	1
algarabía	1
algarada	1
algeciras	1
algo	1
algodón	2
algoritmo	1
algorta	1
algroup	1
alguer	1
alguien	1
algunas	1
alguno	5
alhambra	1
alharaca	1
ali	1
aliada	1
aliado	3
aliaga	1
alianza	2
aliar	5
alias	1
alica	1
alicante	1
alicantino	1
alicatado	1
alicia	1
aliciente	2
alienador	1
aliento	1
aligerar	1
alijo	1
alimaña	1
alimentación	1
alimentado	3
alimentar	7
alimentaria	1
alimentario	4
alimenticio	3
alimento	2
alimón	1
alineación	2
alineado	1
alineados	1
alineamiento	1
alinear	5
alisar	1
alison	1
alistado	1
alistar	3
aliviar	3
alivio	1
aliño	1
aljofifa	1
alkartasuna	1
alkiza	1
alkorta	1
all	1
alla	1
allanar	2
allegado	2
allen	1
allende	1
allianz	1
allord	1
allué	1
allá	1
allí	1
alma	1
almacenado	3
almacenamiento	1
almacenar	1
almacenes	1
almacén	2
almagro	1
almator	1
almató	1
almeida	1
almeria	1
almeriense	1
almería	1
almidón	1
almirante	1
almodóvar	1
almohada	2
almohadilla	1
almorzar	4
almudena	1
almuerzo	2
almunia	1
alocado	1
alocución	1
alojar	3
alonso	1
alou	1
alpes	1
alpinista	1
alpino	4
alqueno	1
alquilado	2
alquilar	3
alquiler	1
alquimista	1
alrededor	2
alstom	1
alston	1
alt	1
alta	2
altaba	1
altadis	1
altamente	1
altamira	1
altamont	1
altar	2
altaveu	1
alter	1
alteraciones	1
alteración	2
alterado	2
alterar	4
altercado	2
alternado	2
alternante	1
alternar	2
alternativa	2
alternativamente	1
alternativo	4
alterno	1
althorp	1
altibajo	1
altiplano	1
altisonante	1
altitud	1
altivo	1
alto	4
altona	1
altos	1
altura	2
altísimo	2
alud	2
aludir	5
alumbrado	1
alumbrar	2
aluminio	1
aluminium	1
alumna	1
alumno	2
alusivo	1
alusión	2
aluvión	1
alvarado	1
alvarez	1
alvaro	1
alvárez	1
alvéolo	1
alyson	1
alza	2
alzamiento	1
alzamora	1
alzar	10
alzheimer	1
alá	1
alérgico	2
alí	1
aló	1
ama	2
amabilidad	1
amable	2
amadeo	1
amadeus	1
amado	1
amador	1
amadrinar	1
amagar	1
amainar	3
amalgama	1
amalgamado	1
amalia	1
amamantar	1
amancio	1
amanda	1
amanecer	3
amante	2
amapola	1
amar	5
amargado	2
amargamente	1
amargant	1
amargar	3
amargo	4
amargor	1
amargura	2
amarilla	1
amarillento	1
amarillismo	1
amarillo	3
amarrar	1
amarre	1
amaru	1
amasijo	1
amateur	1
amato	1
amaya	1
amazona	2
amazonas	1
amazónico	1
amb	1
ambages	1
ambato	1
amberes	1
ambicioso	3
ambición	2
ambient	1
ambiental	2
ambientar	1
ambiente	2
ambiguo	2
ambigüedad	2
ambito	1
ambivalente	1
ambos	2
ambulancia	2
ambulante	2
ambulatorio	1
amedec	1
amedrentado	1
amedrentar	1
amelia	1
amenaza	2
amenazado	2
amenazador	1
amenazante	2
amenazar	7
ameno	1
amenábar	1
amenós	1
american	1
americana	1
americano	4
americanos	1
ametralladora	2
amex	1
amfar	1
amfilohije	1
amiga	2
amigo	3
amigogima	1
amigos	1
amiguete	1
amiguismo	1
amilanar	1
amina	1
aminco	1
amiotrófico	1
amis	1
amistad	2
amistoso	1
ammiótico	1
ammán	1
amniocentesis	1
amnistía	1
amniótico	1
amo	2
amoco	1
amoldar	1
amonestación	1
amonestar	2
amontonar	1
amontone	1
amor	2
amore	1
amorfo	1
amoroso	2
amortajado	1
amortiguar	1
amortización	2
amortizar	2
amos	1
amotinado	1
amotinar	1
amparar	1
amparo	1
amper	1
ampliable	1
ampliación	2
ampliado	1
ampliamente	1
ampliar	9
amplio	4
amplitud	1
amputación	2
amputar	1
amr	1
amro	1
amsterdam	1
amuleto	1
amurallar	1
amurrio	1
amusátegui	1
amén	1
américa	1
américas	1
ana	1
anacrónico	2
anagrama	1
anaheim	1
anais	1
anal	1
anales	1
analfabetismo	1
analista	2
analistas	1
analizado	1
analizar	13
analmente	1
analogía	1
analítico	2
anarquismo	1
anarquista	1
anarquistas	1
anarquía	1
anasagasti	1
anatel	1
anatoli	1
anatolia	1
anaya	1
anboto	1
anc	1
anceco	1
ancelotti	1
ancestral	2
anchas	1
ancho	3
anchura	2
anciana	2
anciano	3
ancianos	1
anclaje	1
anclar	2
and	1
andado	1
andadura	1
andalucista	2
andalucía	1
andalus	1
andaluz	4
andaluza	1
andanada	2
andante	1
andanza	1
andar	8
andarales	1
anders	1
andersen	1
anderson	1
andes	1
andina	1
andino	3
andinos	1
andoain	1
andorra	1
andorrano	1
andre	1
andrea	1
andreescu	1
andrei	1
andreotti	1
andreu	1
andrew	1
andries	1
andro	1
andrzej	1
andré	1
andrés	1
andrólogo	1
andén	2
anecdotario	1
anecdótico	1
anegado	2
anelka	1
anells	1
anemia	1
anexo	3
anfac	1
anfibio	1
anfibología	1
anfitrión	2
angel	1
angela	1
angeles	1
angelical	1
angelino	1
angelinos	1
angelus	1
anglicana	1
anglicano	1
anglosajón	2
anglófono	2
angola	1
angoleñas	1
angoleño	3
angosto	1
angstrom	1
anguera	1
anguita	1
anguitista	1
angulo	1
angustia	1
angustiado	3
angustiar	1
angustioso	1
angélica	1
anhelar	2
anhelo	1
ania	1
aniacam	1
anidar	1
anier	1
anif	1
anillo	2
anillos	1
animación	1
animado	2
animador	2
animal	2
animales	1
animalista	1
animar	5
animatek	1
aniquilación	1
aniquilar	2
anisotrópico	1
aniversario	1
anión	1
ankara	1
ann	1
anna	1
annan	1
anne	1
anoche	1
anochecer	1
anochezca	1
anodino	2
anoeta	1
anonimato	1
anorexia	1
anormal	1
anoréxico	1
anotación	2
anotado	2
anotador	1
anotar	5
another	1
anquetil	1
ansia	2
ansiedad	1
anson	1
ansotegui	1
antagonismo	1
antagónico	1
antanas	1
antawn	1
antaño	1
ante	1
anteayer	1
antecedente	2
anteceder	1
antecesor	1
antecesora	1
antelación	1
antelo	1
antemano	1
antena	2
antepasado	2
anteponer	1
anteproyecto	1
anteriomente	1
anterior	2
anterioridad	1
anteriormente	1
antes	1
antesala	1
anthill	1
anthoney	1
anthony	1
anthracis	1
anti	1
antiaéreo	1
antiblanqueo	1
antic	1
anticalvicie	1
anticastrista	1
anticatalán	1
anticipación	1
anticipadamente	1
anticipado	3
anticipar	3
anticipo	2
anticomunista	1
anticonstitucional	2
anticorrupción	1
anticuado	3
anticuadísimo	1
anticuario	1
anticuerpo	1
antidemocrático	1
antideportivo	1
antidiscriminación	1
antidisturbio	1
antidisturbios	1
antidopaje	1
antidroga	1
antiestático	1
antifascista	1
antifranquista	1
antifraude	1
antigualla	1
antiguamente	1
antigubernamental	1
antiguo	4
antigás	1
antigüedad	2
antihipertensivo	1
antihéroe	1
antiincendios	1
antimilitarismo	1
antimilitarista	1
antimisil	1
antimonopolio	1
antimonopolios	1
antimundialización	1
antinarcóticos	1
antinatural	1
antinomia	1
antioccidental	1
antioqueño	1
antioquia	1
antipatía	1
antipersona	1
antipersonal	2
antipersonas	1
antipático	1
antirracista	1
antisindical	2
antisionismo	1
antisistema	1
antitanque	1
antiterrorista	1
antitrabajador	1
antoine	1
antojarse	1
antojo	1
antología	1
antológico	2
antoni	1
antonia	1
antoniano	2
antonino	1
antonio	1
antoniska	1
antorcha	1
antraceno	1
antropofísico	1
antropología	1
antropológico	2
antropomorfo	1
antropólogo	1
antxon	1
antártico	1
antártida	1
antídoto	1
antón	1
antónio	1
antúnez	1
anual	2
anualmente	1
anuar	1
anudado	1
anugo	1
anulación	1
anulado	1
anular	8
anunciado	3
anunciar	14
anuncio	2
anwander	1
any	1
anz	1
anzuelo	1
análisis	1
análogo	3
anárquico	1
anécdota	2
anémico	1
aníbal	1
anímico	2
anís	1
anómalo	1
anónima	1
anónimo	4
aoki	1
aol	1
apa	1
apabullar	1
apache	1
apacible	1
apaciguar	2
apadrinado	1
apagado	1
apagar	3
apagón	1
apandar	1
aparato	2
aparcado	1
aparcamiento	2
aparcar	7
aparear	2
aparecer	13
aparecido	2
aparejado	1
aparentar	3
aparente	1
aparentemente	1
aparicio	1
aparición	2
apariencia	2
apartado	2
apartamento	2
apartar	6
aparte	1
apartheid	1
apasionado	3
apasionamiento	1
apatía	1
apavit	1
apc	1
apd	1
apeado	1
apec	1
apechugar	1
apedrear	1
apego	1
apelaciones	1
apelación	2
apelado	1
apelar	7
apelativo	1
apellido	2
apelusado	1
apenar	1
apenas	1
apercibir	1
aperitivo	1
apertura	2
aperturismo	1
aperturista	1
apesadumbrado	1
apestado	1
apetecer	2
apetencia	1
apetito	2
apetitoso	1
apfelstrudel	1
apiadar	1
apicella	1
apilamiento	2
apisonadora	1
apiñar	1
aplacar	1
aplastante	1
aplastar	2
aplaudibles	1
aplaudido	2
aplaudir	5
aplauso	2
aplazado	1
aplazamiento	1
aplazar	6
aplicable	1
aplicación	2
aplicado	3
aplicar	10
apligsa	1
aplomo	1
aplástico	1
apocalipsis	1
apodado	1
apoderado	2
apoderar	6
apodo	1
apogeo	1
apoquindo	1
aportación	2
aportado	2
aportar	11
aporte	2
aposentar	1
aposento	1
apostar	9
apostillar	3
apostolos	1
apoteosis	1
apoteósico	1
apoyado	3
apoyar	16
apoyo	2
apparatchiki	1
appc	1
apple	1
application	1
apreciable	1
apreciación	2
apreciar	8
aprecio	1
apremiar	1
aprender	7
aprendido	1
aprendiz	1
aprendizaje	1
apresado	1
apresamiento	1
aprestar	1
apresurado	2
apresurar	4
apretado	2
apretar	3
apretura	1
apretón	1
aprieto	2
aprobación	1
aprobada	1
aprobado	3
aprobar	14
apropiación	1
apropiado	3
aprovechable	1
aprovechamiento	1
aprovechar	17
aprovisionamiento	1
aprovisionar	1
aproximación	1
aproximadamente	1
aproximado	1
aproximar	2
apta	1
aptitud	1
apto	3
apuesta	2
apuesto	1
apuntalar	2
apuntar	11
apunte	1
apurar	3
apuro	1
apuñalamiento	1
apuñalar	3
apóstata	1
apóstol	2
aqsa	1
aquatic	1
aquejado	3
aquejar	1
aquel	5
aquelarre	1
aquesta	1
aquiles	1
aquino	1
aquisgrán	1
aquitaine	1
aquivaldo	1
aquí	1
ara	1
arabia	1
arafat	1
aragonés	3
aragorn	1
aragó	1
aragón	1
araiz	1
arambulet	1
aramburu	1
aramis	1
arana	1
arancel	1
arancelario	1
aranceles	1
arancha	1
arancibia	1
arandes	1
arango	1
arantxa	1
aranzabal	1
aranzadi	1
aranzubía	1
aras	1
araujo	1
arauz	1
aravena	1
arazi	1
araña	1
arañado	1
arañar	2
arbitraje	2
arbitral	2
arbitrar	1
arbitrariedad	1
arbitrario	2
arbolado	2
arbolí	1
arbor	1
arbusto	1
arc	1
arca	2
arcaico	1
arcalís	1
arcano	1
arce	1
arcelio	1
archienemigo	1
archipiélago	1
archirrival	1
archivar	4
archivo	2
arcilla	1
arco	2
arcén	1
ard	1
arder	5
ardid	1
ardor	2
ardoz	1
arduo	2
ardèvol	1
area	1
areces	1
arellano	1
arena	2
arenal	2
arenas	1
arenoso	1
arensibia	1
arenys	1
arg	1
argelia	1
argelino	2
argentaria	1
argentina	1
argentinas	1
argentino	4
argi	1
argot	1
arguelles	1
argumentación	2
argumental	1
argumentar	8
argumento	2
argón	1
argüir	1
ari	1
aria	1
ariani	1
arias	1
ariel	1
ariete	1
arimon	1
arista	1
aristide	1
aristizábal	1
aristocrático	1
aristócrata	1
aritmético	1
ariza	1
arizcuren	1
arizona	1
ariño	1
arkalik	1
arkansas	1
arkatasuna	1
arluciaga	1
arma	2
armada	1
armadas	1
armado	4
armador	1
armados	1
armagedon	1
armagedón	1
armamentista	1
armamento	2
armand	1
armando	1
armar	4
armario	2
armas	1
armengol	1
armenia	1
armeniocanadiense	1
armisticio	1
armiño	1
armonioso	1
armonización	1
armonizar	2
armonía	1
armstrong	1
armónico	1
arnaldo	1
arnau	1
arnaud	1
arnd	1
aro	2
aroma	2
aromático	3
arpegio	1
arqueología	1
arqueológico	2
arquetipo	2
arqueólogo	2
arquitecta	1
arquitecto	2
arquitectura	1
arquitectónico	3
arrabal	1
arraigado	3
arraigar	1
arrancar	8
arranque	1
arrasado	2
arrasar	4
arrastrado	1
arrastrar	8
arrastre	1
arrate	1
arrebata	1
arrebatar	7
arrebato	2
arreciar	3
arredrar	1
arregi	1
arreglado	2
arreglar	5
arreglo	2
arregui	1
arremeter	1
arremetida	1
arrendamiento	1
arrendatario	1
arrepentimiento	1
arrepentirse	5
arrestado	3
arrestar	5
arresto	2
arriaran	1
arriba	1
arribar	1
arribas	1
arribes	1
arriesgado	2
arriesgar	2
arrieta	1
arrigo	1
arrimar	2
arrinconar	2
arriola	1
arrocero	1
arrodillar	1
arrogancia	1
arrogante	1
arrojadizo	1
arrojado	1
arrojar	11
arrojo	1
arrollador	2
arrollar	2
arrondo	1
arropado	2
arropar	1
arrostrar	1
arrows	1
arroyo	1
arroz	1
arruabarrena	1
arrugado	1
arruinar	5
arrullar	1
arrumaco	1
arrumbar	1
arruti	1
arsenal	2
arsenio	1
arsinée	1
arsène	1
art	1
artapalo	1
arte	2
arteaga	1
artefacto	2
artemio	1
arteria	2
artes	1
artesanal	1
artesano	1
artesanía	1
arteta	1
arthur	1
artico	1
articulación	2
articulado	2
articular	3
articulista	2
artificial	2
artificialmente	1
artificiero	2
artificio	1
artificiosidad	1
artificioso	1
artillero	2
artillería	1
artimaña	1
artista	2
artrosis	1
arts	1
artur	1
arturo	1
artículo	2
artículos	1
artífice	1
artístico	4
aruba	1
arum	1
arvind	1
arzalluz	1
arzobispado	1
arzobispo	1
arzú	1
arábigo	1
arévalo	1
arús	1
asad	1
asador	1
asaetear	1
asahi	1
asaja	1
asalariado	1
asaltante	1
asaltar	3
asalto	2
asamblea	2
ascendencia	1
ascendente	1
ascender	9
ascendido	1
ascendiente	1
ascensión	1
ascenso	2
ascensor	2
ascensorista	1
ascetismo	1
asco	1
ascua	1
asea	1
aseado	1
asediado	2
asediar	1
asedio	1
asefi	1
asegurado	3
asegurador	2
aseguradora	2
aseguramiento	1
asegurar	15
asemejar	3
asenjo	1
asentado	2
asentamiento	2
asentar	2
asepsia	1
asequible	2
aserejé	1
asesina	1
asesinado	3
asesinar	7
asesinato	2
asesino	3
asesor	2
asesora	1
asesorado	1
asesoramiento	1
asesorar	4
asesoría	1
asestar	2
asetraval	1
aseveración	2
aseverar	1
asfaltado	1
asfalto	1
asfixiante	2
asfixiar	2
ash	1
ashan	1
ashkenazí	1
asi	1
asia	1
asiduidad	1
asiduo	1
asiento	2
asier	1
asignación	1
asignado	2
asignar	2
asignatura	1
asilar	1
asilo	1
asimilación	1
asimilar	3
asimismo	1
asimov	1
asir	1
asistencia	2
asistencial	2
asistenta	1
asistente	2
asistida	1
asistido	1
asistir	14
asiático	4
aslan	1
asma	1
asmir	1
asnar	1
asobal	1
asociaciones	1
asociación	2
asociado	3
asociados	1
asociar	5
asociativo	2
asolar	2
asomar	6
asombrado	1
asombrar	1
asombro	1
asombroso	2
asomo	1
asonada	1
asp	1
aspaviento	1
aspaym	1
aspecto	2
aspiración	2
aspirante	2
aspirar	8
aspirsa	1
asqueado	1
asqueroso	1
assef	1
assimoco	1
assis	1
assitalia	1
associació	1
associated	1
asta	1
astado	1
astilla	1
astillado	1
astin	1
aston	1
astray	1
astro	2
astrofísica	1
astrofísico	1
astronauta	1
astronómico	1
astros	1
astucia	1
astudillo	1
asturiano	2
asturias	1
astutamente	1
astuto	1
asténico	1
asumible	2
asumido	3
asumir	11
asumisar	1
asunción	1
asunto	2
asuntos	1
asustado	1
asustar	5
así	1
asís	1
atacado	2
atacante	2
atacar	10
atado	2
atajar	2
atalanta	1
atanasio	1
atapuerca	1
ataque	2
atar	2
atarazanas	1
atardecer	1
atareado	1
atascar	1
atasco	2
ataturk	1
ataviado	3
atañer	2
ataúd	1
atemorizador	1
atemperar	1
atenas	1
atencia	1
atención	2
atender	13
atendido	2
atenerse	3
ateniense	1
atentado	2
atentamente	1
atentar	3
atento	3
atenuar	3
ateo	1
aterrador	2
aterrizaje	1
aterrizar	4
atesorar	2
athletic	1
atime	1
atinar	1
atkins	1
atlanet	1
atlanta	1
atlantic	1
atlas	1
atleta	2
atleti	1
atletismo	1
atlántica	1
atlántico	2
atlética	1
atlético	3
atmosférico	2
atmósfera	2
atofina	1
atolladero	1
atom	1
atomizado	1
atomizador	1
atomizar	1
atormentar	1
atp	1
atracador	1
atracar	1
atracción	2
atraco	2
atractivo	3
atraer	7
atrapado	3
atrapar	5
atraque	1
atrasado	1
atrasar	1
atraso	1
atravesado	1
atravesar	7
atrayente	1
atraído	2
atreverse	10
atrevido	1
atribución	2
atribuible	1
atribuido	3
atribuir	11
atribular	1
atributo	1
atrincherado	1
